Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Renato,android,browseTitlesGallery,,,2021-12-28 01:14:54
Renato,android,movieDetails,,,2021-12-28 01:14:54
Renato,android,movieDetails,,,2021-12-28 01:14:29
Renato,android,browseTitlesGallery,,,2021-12-28 01:14:28
Renato,android,browseTitlesGallery,,,2021-12-28 01:13:39
Renato,android,browseTitlesGallery,,,2021-12-28 01:13:39
Renato,android,browseTitlesGallery,,,2021-12-28 01:11:15
Renato,android,browseTitlesGallery,,,2021-12-28 01:11:15
Renato,android,browseTitles,,,2021-12-28 01:08:31
Renato,android,browseTitlesGallery,,,2021-12-28 01:08:31
Renato,android,browseTitles,,,2021-12-28 01:07:38
Renato,android,browseTitlesGallery,,,2021-12-28 01:03:39
Renato,android,browseTitles,,,2021-12-28 01:03:38
Renato,android,browseTitlesGallery,,,2021-12-28 01:03:36
Renato,android,browseTitles,,,2021-12-28 01:03:36
Renato,android,browseTitles,,,2021-12-28 01:02:56
Renato,android,browseTitlesGallery,,,2021-12-28 01:02:56
Renato,android,browseTitles,,,2021-12-28 01:01:04
Renato,android,movieDetails,,,2021-12-28 01:01:04
Renato,android,browseTitles,,,2021-12-28 01:00:59
Renato,android,movieDetails,,,2021-12-28 01:00:59
Renato,android,browseTitles,,,2021-12-28 01:00:24
Renato,android,profilesGate,,,2021-12-28 01:00:23
Renato,android,newsFeed,,,2021-12-27 01:35:29
Renato,android,browseTitles,,,2021-12-27 01:35:29
Renato,android,newsFeed,,,2021-12-27 01:35:27
Renato,android,browseTitles,,,2021-12-27 01:35:26
Renato,android,browseTitles,,,2021-12-27 01:10:12
Renato,android,search,,,2021-12-26 22:54:06
Renato,android,playback,,,2021-12-26 22:54:06
Renato,android,playback,,,2021-12-26 22:53:57
Renato,android,search,,,2021-12-26 22:53:56
Renato,android,browseTitles,,,2021-12-26 22:53:43
Renato,android,search,,,2021-12-26 22:53:43
Renato,android,accountMenu,,,2021-12-26 22:53:42
Renato,android,browseTitles,,,2021-12-26 22:53:42
Renato,android,browseTitles,,,2021-12-26 22:53:42
Renato,android,browseTitles,,,2021-12-26 22:53:42
Renato,android,accountMenu,,,2021-12-26 22:53:41
Renato,android,accountMenu,,,2021-12-26 22:53:41
Renato,tvui,movieDetails,,,2021-12-25 20:06:08
Renato,tvui,profilesGate,,,2021-12-25 20:06:08
Renato,tvui,exitDialog,,,2021-12-25 15:55:49
Renato,tvui,playback,,,2021-12-25 15:55:49
